SKU编码,品类,仓库编码,日期,预测销量,预测下限,预测上限,集成预测,Prophet权重,XGBoost权重
SKU00001,服装鞋履,ALL,2026-01-01,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-02,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-03,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-04,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-05,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-06,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-07,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-08,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-09,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-10,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-11,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-12,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-13,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-14,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-15,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-16,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-17,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-18,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-19,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-20,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-21,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-22,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-23,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
SKU00001,服装鞋履,ALL,2026-01-24,0.8571428571428571,0.1222959343079036,1.5919897799778109,0.8571428571428571,1.0,0.0
